"ESTUDIO";"ENTREV";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"TAMUNI";"CAPITAL";"TIPO_TEL";"SEXO";"EDAD";"P0";"ADQUINAC";"PAISNAC";"PAISNAC2";"CCAARESI";"P2_1";"P2_2";"P2_3";"P2_4";"P2_5";"P2_6";"P2_7";"P2_8";"P2_9";"P2_10";"P2_11";"P2_12";"P2A1";"P3_1";"P3_2";"P3_3";"P3_4";"P3_5";"P3_6";"P4";"DESIGUALDAD";"P6_1";"P6_2";"P6_3";"P6_4";"P7";"P8_1";"P8_2";"P8_3";"P8_4";"P8_5";"P8_6";"P9";"IDENTIDAD";"INFLUPOL1";"INCOMOAMBI_1";"INCOMOAMBI_2";"INCOMOAMBI_3";"VALORAPART_1";"VALORAPART_2";"VALORAPART_3";"VALORAPART_4";"VALORAPART_5";"VALORAPART_6";"VALORAPART_7";"VALORAPART_8";"VALORAPART_9";"VALORAPART_10";"VALORAPART_11";"VALORAPART_12";"LIDERESPOL_1";"LIDERESPOL_2";"LIDERESPOL_3";"LIDERESPOL_4";"LIDERESPOL_5";"LIDERESPOL_6";"LIDERESPOL_7";"LIDERESPOL_8";"LIDERESPOL_9";"LIDERESPOL_10";"LIDERESPOL_11";"LIDERESPOL_12";"LIDERSENTIM_1";"LIDERSENTIM_2";"LIDERSENTIM_3";"LIDERSENTIM_4";"LIDERSENTIM_5";"LIDERSENTIM_6";"SIMPAPART_1";"SIMPAPART_2";"SIMPAPART_3";"SIMPAPART_4";"SIMPAPART_5";"SIMPAPART_6";"SIMPAPART_7";"SIMPAPART_8";"SIMPAPART_9";"SIMPAPART_10";"SIMPAPART_11";"SIMPAPART_12";"ESCIDEOL";"INTENCIONG";"INTENCIONGR";"INTENCIONGALTER";"INTENCIONGALTERR";"SIMPATIA";"VOTOSIMG";"PARTICIPACIONG";"RECUVOTOG";"RECUVOTOGR";"RECUERDO";"CERCANIA";"ECIVIL";"PPERHOG";"ESCUELA";"NIVELESTENTREV";"ESTUDIOS";"RELIGION";"PRACTICARELIG6";"SITLAB";"RELALAB";"CNO11";"CNO11R";"INGRESHOG";"INGRESOSHOG2";"CLASESOCIAL";"CLASESUB";"SINCERIDAD";"PESO";"PESOCCAA";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS0";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_26";"IA_C2B_27";"IA_C2B_28";"IA_C2B_29";"IA_C2B_30";"IA_C2B_31";"IA_C2B_32";"IA_C2B_33";"IA_C2B_34";"IA_C2B_35";"IA_C2B_36";"IA_C2B_37";"IA_C2B_38";"IA_C2B_39";"IA_C2B_40";"IA_C2B_41";"IA_C2B_42";"IA_C2B_43";"IA_C2B_44";"IA_C2B_45";"IA_C3";"IA_C4"
3480;0;29;1;8;37;0;1;3;2;1;59;1;1;1;0;8;2;2;8;2;4;2;2;4;8;4;1;2;7;4;2;8;8;4;2;3;8;4;3;4;3;1;1;5;2;4;9;2;1;7;7;3;3;3;5;4;3;1;1;"";"";"";"";"";"";"";4;4;3;1;3;"";"";"";"";"";"";"";5;3;3;5;5;5;5;3;2;2;2;2;2;1;2;1;2;3;5;2;2;9997;9997;0;2;1;2;2;2;2;1;4;3;5;5;2;1;1;1;2;2;8;7;96;6;1;0,99953;1,22672;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;74;1;0;1;0;82;1;"";"";"";11;10;24;5;29;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3480;0;228;2;15;31;201;5;1;2;1;42;1;1;1;0;15;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;5;5;1;2;1;2;5;5;5;3;1;2;1;1;5;1;1;1;10;4;4;3;1;1;1;1;1;"";"";1;"";"";"";1;1;1;1;1;1;"";"";1;"";"";"";1;5;4;5;6;6;1;5;1;6;1;1;1;1;1;1;1;4;3;98;9997;9997;0;0;28;28;2;0;0;9997;9997;2;2;3;13;6;1;5;1;2;1;1;11;11;97;6;1;0,39102;0,6531;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;40;1;"";"";"";11;10;24;5;22;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3480;0;232;3;7;19;0;3;3;2;1;67;1;1;1;0;7;5;1;2;2;5;4;2;4;2;2;2;4;7;2;2;1;4;5;1;2;3;1;5;5;4;1;1;2;1;1;1;1;2;2;10;4;4;4;8;4;2;1;1;"";"";"";"";"";"";"";8;1;1;1;1;"";"";"";"";"";"";"";1;4;5;5;5;5;8;2;2;2;1;1;1;1;1;1;3;6;5;2;2;9997;9997;0;2;1;2;2;2;2;1;2;3;7;5;2;2;2;0;0;12;8;7;3;2;1;0,31333;0,74258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;"";"";"";11;10;24;5;26;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3480;0;249;4;10;46;250;6;1;2;2;68;1;1;1;0;10;1;1;1;1;1;1;2;2;1;2;2;2;11;4;2;2;4;5;1;1;2;4;4;4;4;2;4;5;4;1;4;2;2;3;10;4;4;4;7;1;1;1;1;"";"";"";"";"";"";"";7;1;1;1;1;"";"";"";"";"";"";"";1;6;4;6;5;4;7;1;1;1;1;3;3;1;3;3;5;3;5;2;2;8996;8996;0;2;2;0;0;9997;2;1;2;3;11;6;2;2;2;0;0;12;9;7;4;3;1;0,29157;0,85931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;"";"";"";11;10;24;5;22;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3480;0;269;5;16;1;59;5;1;2;2;28;1;1;1;0;16;4;4;1;1;1;1;2;5;1;1;2;1;3;4;4;4;2;2;4;3;3;5;4;1;2;1;4;5;5;2;4;4;5;5;10;4;4;4;4;6;1;7;7;"";"";9;6;"";"";"";3;6;1;9;7;"";"";10;6;"";"";"";5;6;4;1;5;6;3;6;1;7;7;9;8;9;6;6;6;3;1;1602;1602;21;21;0;1602;1;1602;1602;1602;1602;2;2;3;10;6;6;0;1;1;4;4;9;7;3;2;1;0,68018;0,69394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;"";"";"";11;10;24;5;18;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3480;0;290;6;5;35;16;5;1;2;2;66;1;1;1;0;5;9;1;1;1;1;1;1;4;1;1;1;2;3;2;1;1;2;1;2;3;2;2;4;1;2;1;4;4;2;4;4;1;4;3;10;4;4;4;1;8;1;7;5;"";"";"";"";"";7;"";2;7;1;7;97;"";"";"";"";"";97;"";3;1;5;1;97;5;4;9;1;8;5;1;1;1;1;4;6;4;1;1;1;21;21;0;1;1;1;1;1;1;3;3;3;2;2;2;2;2;0;0;12;9;7;3;2;2;5,52031;0,78022;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;17;0;0;0;0;21;1;"";"";"";11;10;24;5;22;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3480;0;502;7;13;28;79;7;1;2;2;57;2;2;2;341;13;5;5;1;1;2;5;5;1;1;2;2;1;12;2;1;2;4;2;2;3;2;5;5;2;2;1;1;2;4;4;4;4;3;1;10;4;4;4;5;5;4;1;1;"";"";"";"";"";"";"";5;5;3;1;1;"";"";"";"";"";"";"";5;3;5;5;5;5;3;5;3;2;2;2;1;1;2;2;3;2;5;9998;9998;0;0;1;1;1;1;1;1;9997;1;3;3;9;6;2;3;1;3;4;4;7;5;12;5;1;0,32991;0,89675;0;0;0;0;0;1;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;76;1;0;0;0;90;1;"";"";"";11;10;24;5;27;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3480;0;619;8;7;13;34;4;2;2;2;74;1;1;1;0;7;9;1;1;1;1;2;2;1;1;1;1;2;7;1;1;1;1;5;1;1;3;1;2;2;1;3;2;4;1;2;4;1;1;1;10;4;4;3;8;1;5;1;1;"";"";"";"";"";"";"";8;1;5;1;1;"";"";"";"";"";"";"";1;6;4;6;6;5;8;5;5;1;1;1;1;1;1;1;4;5;6;2;2;9993;9993;0;2;1;2;2;2;2;1;2;3;4;3;1;6;7;0;0;14;7;1;2;1;1;1,71248;1,03089;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;28;0;1;0;0;47;1;"";"";"";11;10;24;5;24;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3480;0;665;9;14;30;30;6;1;2;1;62;1;1;1;0;14;2;2;2;2;4;4;4;5;1;2;4;2;4;4;4;5;1;2;4;3;2;4;2;2;2;1;1;4;1;4;4;4;5;1;10;4;3;3;4;4;2;1;1;"";"";"";"";"";"";"";4;6;3;3;1;"";"";"";"";"";"";"";4;1;4;3;6;6;5;5;3;3;2;1;1;1;3;4;4;3;5;9998;9998;0;0;1;1;1;1;1;1;1;1;2;3;4;3;4;0;4;0;0;16;4;3;12;5;2;1,59137;0,72156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;"";"";"";11;10;24;5;30;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3480;0;720;10;13;28;79;7;1;1;2;67;2;2;2;340;13;1;1;1;4;2;2;2;7;1;2;2;2;1;5;5;4;2;2;2;3;3;5;5;1;2;1;5;5;5;2;4;4;5;3;10;4;4;4;1;8;1;9;7;"";"";"";"";"";"";"";1;9;1;9;7;"";"";"";"";"";"";"";4;1;6;1;5;6;4;9;1;9;7;9;5;8;5;8;5;4;4;21;21;1;1;0;21;1;21;21;21;21;5;1;3;14;6;5;0;1;1;2;2;8;0;3;2;1;0,25827;1,1649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";11;10;24;5;26;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
