Opinión,18-24,25-34,35-44,45-54,55-64,65-74,75 y más,Total
Sus familiares,8.9,4.5,4.5,3.5,4.2,3.3,11.4,5.4
Sus amigos/as,0.6,1.1,0.6,0.2,0.1,0.5,0,0.4
Alguna figura política concreta,1.2,0.9,0.7,1.4,2.1,0.5,1.4,1.2
"Algún partido político, sindicato, etc.",3.7,0.5,1.1,3.9,1.8,2.5,2.2,2.2
"Los medios de comunicación tradicionales (televisión, radio, prensa escrita)",3.6,4.4,3.9,7.3,5.5,8.5,7.3,5.9
"Los medios de comunicación digitales (periódicos online, podcast asociados, etc.)",6.6,3.6,2.7,3.1,1.8,1.5,0.1,2.6
"La formación académica recibida (escuela, universidad)",18.8,12.9,11.3,8,10.3,5.9,6.6,10
La pertenencia a algún grupo de militancia o activismo,2.2,1.1,0.9,0.3,0.4,0.9,0.5,0.8
"Las redes sociales (Instagram, X, WhatsApp,...)",6.5,1.5,1.8,0.6,1.5,2.6,1.1,1.9
Su propia experiencia y criterio,46.6,66.4,70.1,68.1,68.1,64,50.4,63.6
(NO LEER) Todos/as,0.3,1.6,1.2,0.7,0.9,1,1.2,1
(NO LEER) Otra respuesta,0.5,1.1,0.7,1.1,1.7,2.4,3.8,1.6
"(NO LEER) Ninguna, nada",0.5,0.2,0.1,1.5,1,1.4,6.3,1.6
N.S.,0,0.1,0.3,0.1,0,1.4,3.6,0.7
N.C.,0.1,0,0.3,0.2,0.7,3.6,4.1,1.2
(N),323,467,683,770,675,501,510,3928
