Opinión,18-24,25-34,35-44,45-54,55-64,65-74,75 y más,Total
Sus familiares,0.7,0.5,0.8,0.7,0.7,0.4,1.5,5.4
Sus amigos/as,0.1,0.1,0.1,0,0,0.1,0,0.4
Alguna figura política concreta,0.1,0.1,0.1,0.3,0.4,0.1,0.2,1.2
"Algún partido político, sindicato, etc.",0.3,0.1,0.2,0.8,0.3,0.3,0.3,2.2
"Los medios de comunicación tradicionales (televisión, radio, prensa escrita)",0.3,0.5,0.7,1.4,0.9,1.1,1,5.9
"Los medios de comunicación digitales (periódicos online, podcast asociados, etc.)",0.5,0.4,0.5,0.6,0.3,0.2,0,2.6
"La formación académica recibida (escuela, universidad)",1.5,1.5,2,1.6,1.8,0.8,0.9,10
La pertenencia a algún grupo de militancia o activismo,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.8
"Las redes sociales (Instagram, X, WhatsApp,...)",0.5,0.2,0.3,0.1,0.3,0.3,0.1,1.9
Su propia experiencia y criterio,3.8,7.9,12.2,13.3,11.7,8.2,6.5,63.6
(NO LEER) Todos/as,0,0.2,0.2,0.1,0.2,0.1,0.2,1
(NO LEER) Otra respuesta,0,0.1,0.1,0.2,0.3,0.3,0.5,1.6
"(NO LEER) Ninguna, nada",0,0,0,0.3,0.2,0.2,0.8,1.6
N.S.,0,0,0,0,0,0.2,0.5,0.7
N.C.,0,0,0.1,0,0.1,0.5,0.5,1.2
(N),8,12,17,20,17,13,13,3928
